Rank,LLM_MODEL,GAMMA,MAX_HISTORY_SESSIONS,MAX_HISTORY_HUMAN,MAE_Episode1,Pearson_Episode1,MAE_Episode2,Pearson_Episode2,MAE_Avg,Pearson_Avg
81,gpt-5-chat,0.55,2,3,0.12424476780371513,0.9614909098271998,0.1714930234899348,0.9270543930481216,0.14786889564682498,0.9442726514376607
82,gpt-5-chat,0.6,2,9,0.11060960866237149,0.944880248645702,0.18611024153283848,0.9176524600830992,0.14835992509760498,0.9312663543644006
83,gpt-4.1,0.4,2,9,0.12471652808270078,0.9040530058728137,0.17350269885545258,0.9105261325171842,0.1491096134690767,0.9072895691949989
84,gpt-5-chat,0.45,2,9,0.11871059730346481,0.9641690888212419,0.17960306616737762,0.917877554718151,0.1491568317354212,0.9410233217696964
85,gpt-4.1,0.3,3,9,0.12269613739566052,0.9204587256540111,0.17576751730431744,0.9084199826797226,0.14923182734998897,0.9144393541668668
86,gpt-4.1,0.3,2,9,0.12578080390637958,0.9233521362663114,0.17270559905820695,0.9090164145267287,0.14924320148229325,0.91618427539652
87,gpt-5-chat,0.4,3,9,0.11775368753447481,0.9654829610749535,0.1810499701814449,0.9186041985332911,0.14940182885795986,0.9420435798041222
88,gpt-4.1,0.35,3,9,0.12378776903720569,0.9173459265976078,0.17522900036865438,0.9072713421119316,0.14950838470293004,0.9123086343547697
89,gpt-4.1,0.45,3,9,0.12105273038734657,0.9026461513242722,0.1784145749963353,0.9111128705783001,0.14973365269184094,0.9068795109512862
90,gpt-5-chat,0.65,2,9,0.10867855455350305,0.935866400963122,0.19123220427811802,0.9138431385740289,0.14995537941581052,0.9248547697685754
91,gpt-5-chat,0.35,2,6,0.140635734702094,0.9858279778937346,0.15971603430753703,0.9261177551674178,0.1501758845048155,0.9559728665305762
92,gpt-5-chat,0.9,3,3,0.1474277267510809,0.9252149626334625,0.15349167525938087,0.9408085400561593,0.15045970100523087,0.9330117513448108
93,gpt-5-chat,0.7,2,9,0.10885120093680342,0.9296490984005151,0.19273142840281662,0.9144855090004151,0.15079131466981002,0.9220673037004652
94,gpt-5-chat,0.5,2,9,0.11210988777089795,0.9593316196551261,0.18983060245602912,0.915026391720183,0.15097024511346352,0.9371790056876546
95,gpt-5-chat,0.6,3,9,0.1037819922203513,0.9401735714991882,0.19914531969280327,0.9110522694032125,0.1514636559565773,0.9256129204512004
96,gpt-5-chat,0.3,3,9,0.12663701974774197,0.9750699955261922,0.1766142822376882,0.9171426840255015,0.15162565099271508,0.9461063397758469
97,gpt-5-chat,0.55,3,9,0.10704653731440965,0.9493829580831726,0.19625362465219787,0.9113772911430975,0.15165008098330376,0.9303801246131351
98,gpt-5-chat,0.95,3,3,0.15977035151712055,0.9157338935611675,0.14530309532061012,0.9508720765952997,0.15253672341886532,0.9333029850782336
99,gpt-4.1,0.55,2,9,0.12231354301092871,0.8959767299957161,0.1829007078413264,0.9106864184171618,0.15260712542612756,0.903331574206439
100,gpt-4.1,0.6,2,3,0.1152268888675973,0.9861701777132714,0.19010399352296456,0.912174192975739,0.15266544119528092,0.9491721853445052
101,gpt-4.1,0.85,3,6,0.1441937769073916,0.9268791031927592,0.1612084792791083,0.9296648670137045,0.15270112809324995,0.928271985103232
102,gpt-4.1,0.4,2,6,0.12933188722588407,0.9641922219611776,0.17694170336350754,0.9114992906528062,0.15313679529469582,0.937845756306992
103,gpt-5-chat,0.4,2,6,0.1472237296739901,0.9861763297733164,0.1595022031893692,0.9270607306188183,0.15336296643167965,0.9566185301960674
104,gpt-5-chat,0.25,3,9,0.13005206355660018,0.9783165229259849,0.17845771061981117,0.9158092711328946,0.15425488708820567,0.9470628970294397
105,gpt-4.1,0.25,2,9,0.13841620403935484,0.9180314215631614,0.17058173063464072,0.9082192259967521,0.15449896733699778,0.9131253237799568
106,gpt-5-chat,0.4,2,9,0.1320587882545771,0.9696342309096336,0.17695346118699506,0.9174462980950305,0.15450612472078606,0.9435402645023321
107,gpt-5-chat,0.65,3,9,0.11338438535325933,0.9275585630313369,0.1958612984089877,0.9103168968246667,0.15462284188112352,0.9189377299280017
108,gpt-5-chat,0.85,3,6,0.12932020294703916,0.9276219403612911,0.18149045312123904,0.92292511672737,0.1554053280341391,0.9252735285443305
109,gpt-5-chat,0.5,3,3,0.1328769501675485,0.9490794466412986,0.17904155922104648,0.9222702867634921,0.1559592546942975,0.9356748667023953
110,gpt-4.1,0.5,3,9,0.1268136716813639,0.8867211605631412,0.18571101168195175,0.9093819048491418,0.1562623416816578,0.8980515327061416
111,gpt-5-chat,0.35,2,9,0.14080946431033017,0.9700786538829063,0.17287004292325583,0.9200617439087353,0.156839753616793,0.9450701988958208
